	drugbankId	name	ttd_id	pubchem_cid	cas_num	chembl_id	zinc_id	chebi_id	kegg_cid	kegg_id	bindingDB_id	UMLS_cuis	stitch_id
57	DB01101	Capecitabine	D00HCQ	60953.0	154361-50-9	CHEMBL1773	ZINC000003806413	31348	C12650	D01223		C0671970	CID000060953
60	DB01100	Pimozide	D00KHM	16362.0	2062-78-4	CHEMBL1423	ZINC000004175630	8212	C07566	D00560	50334150.0	C0031935	CID000016362
66	DB01105	Sibutramine	D08KVZ	5210.0	106650-56-0	CHEMBL1419		9137	C07247	D08513	84742.0	C0074493	CID000005210
69	DB01104	Sertraline	D0K0TC	68617.0	79617-96-2	CHEMBL809	ZINC000001853550	9123	C07246	D02360	79021.0	C0074393	CID100005203
77	DB01109	Heparin	D01ZJK	8784.0	9005-49-6	CHEMBL1909300		28304	C00374			C0019134	CID153477714
81	DB01106	Levocabastine	D08SEI	54385.0	79516-68-0	CHEMBL1615438	ZINC000100089496	135679		D01717	50019405.0	C0064870	CID100003915
104	DB01112	Cefuroxime	D0Y2IE	5479529.0	55268-75-2	CHEMBL1436	ZINC000003871978	3515	C06894	D00262	50422689.0	C0007562	CID005479529
110	DB01110	Miconazole	D00AXJ	4189.0	22916-47-8	CHEMBL91		82892	C08070	D00882	31772.0	C0025942	CID000004189
116	DB01115	Nifedipine	D04OSE	4485.0	21829-25-4	CHEMBL193	ZINC000085205448	7565	C07266	D00437	50101817.0	C0028066	CID000004485
119	DB01114	Chlorpheniramine	D0B7NG	2725.0	132-22-9	CHEMBL505		52010	C06905	D07398	35938.0	C0008281,C0724551	CID000002725
122	DB01113	Papaverine	D0NJ3V	4680.0	58-74-2	CHEMBL19224	ZINC000000056555	28241	C06533	D07425	14754.0	C0030350	CID000004680
124	DB01119	Diazoxide	D07WEP	3019.0	364-98-7	CHEMBL181	ZINC000003872277	4495	C06949	D00294	86248.0	C0012022	CID000003019
125	DB01118	Amiodarone	D0L5WM	2157.0	1951-25-3	CHEMBL633	ZINC000003830212	2663	C06823	D02910	18957.0	C0002598	CID100002156
127	DB01117	Atovaquone	D06ZEE	74989.0	95233-18-4	CHEMBL1450	ZINC000116473771	575568	C06835	D00236	16301.0	C0165603	CID000074989
138	DB13100	Biguanide	D0JY5S	5939.0	56-03-1		ZINC000004097424	3095	C07672			C4317165	CID000005939
170	DB01120	Gliclazide	D0M2MR	3475.0	21187-98-4	CHEMBL427216	ZINC000012461841	31654		D01599	50103512.0	C0017631	CID000003475
173	DB01127	Econazole	D0EV8E	3198.0	27220-47-9	CHEMBL808		82873	C08068	D03936	31773.0	C0013547	CID000003198
176	DB01126	Dutasteride	D0A9YA	6918296.0	164656-23-9	CHEMBL1200969	ZINC000003932831	521033		D03820	50340481.0	C0754659	CID006918296
182	DB01124	Tolbutamide	D06OIV	5505.0	64-77-7	CHEMBL782	ZINC000001530703	27999	C07148	D00380	50027886.0	C0040374	CID000005505
185	DB01129	Rabeprazole	D0KL4J	5029.0	117976-89-3	CHEMBL1219	ZINC5933126	8768	C07864	D08463	50070209.0	C0378482,C0650237	CID000005029
186	DB01128	Bicalutamide	D0V9BD	2375.0	90357-06-5	CHEMBL409		144093	C08160	D00961	18525.0	C0285590	CID000002375
203	DB15779	Mebrofenin	D0X5KF	5284569.0	78266-06-5	CHEMBL1605443	ZINC000000537957	135608					CID100054158
218	DB01130	Prednicarbate	D09IEE	6714002.0	73771-04-7	CHEMBL1200386	ZINC000003938652	135791		D05601	13579.0	C0071836	CID006714002
227	DB01132	Pioglitazone	D03OFF	4829.0	111025-46-8	CHEMBL595		8228	C07675	D08378	50103521.0	C0071097	CID000004829
230	DB01131	Proguanil	D0P8RS	4923.0	500-92-5	CHEMBL1377	ZINC000095452610	8455	C07631		50227829.0	C0008241	CID100004923
235	DB01137	Levofloxacin	D02RSN	149096.0	100986-85-4	CHEMBL33	ZINC000000538273	63598	C07660	D08120	50366826.0	C0282386,C3661457	CID000149096
238	DB01136	Carvedilol	D0W9LX	2585.0	72956-09-3	CHEMBL723		3441	C06875	D00255	25759.0	C0054836	CID000002585
350	DB03754	Tromethamine	D07HGR	6503.0	77-86-1	CHEMBL1200391	ZINC000000896695	9754	C07182	D00396		C0041175,C1306531	CID000006503
375	DB13169	Nandrolone	D00YWP	9904.0	434-22-0	CHEMBL757	ZINC000003814379	7466	C07254	D08250	50080092.0	C0027368	CID000009904
376	DB01181	Ifosfamide	D02TLO	3690.0	3778-73-2	CHEMBL1024		5864	C07047	D00343	189358.0	C0020823	CID000003690
377	DB01180	Rescinnamine	D0G8NJ	32681.0	24815-24-5	CHEMBL1668	ZINC000004097185	28572	C06540	D00198		C0035167	CID100005051
378	DB01185	Fluoxymesterone	D0L2LS	6446.0	76-43-7	CHEMBL1445	ZINC000003875484	5120		D00327	18189.0	C0016366	CID000006446
379	DB01184	Domperidone	D0AV3G	3151.0	57808-66-9	CHEMBL219916	ZINC000004175569	31515		D01745	50241107.0	C0013015	CID000003151
380	DB01183	Naloxone	D0X3FX	5284596.0	465-65-6	CHEMBL80	ZINC000000389747	7459	C07252	D08249	54795.0	C0027358	CID005284596
381	DB01182	Propafenone	D0J2KV	4932.0	54063-53-5	CHEMBL631		63619	C07381	D08435	50067133.0	C0033429	CID000004932
382	DB01189	Desflurane	D0H4GN	42113.0	57041-67-5	CHEMBL1200733		4445	C07519	D00546		C0063252	CID000042113
383	DB01188	Ciclopirox	D07GRH	2749.0	29342-05-0	CHEMBL1413	ZINC000000001145	453011		D03488	66087.0	C0055711	CID000002749
385	DB01186	Pergolide	D04JCN	47811.0	66104-22-1	CHEMBL531	ZINC000003786466	63617	C07425	D08339	50028421.0	C0031007	CID000047811
399	DB01192	Oxymorphone	D02NSF	5284604.0	76-41-5	CHEMBL963	ZINC000003875483	7865	C08019	D08323	50001707.0	C0030073	CID005284604
401	DB01190	Clindamycin	D0R0ZL	446598.0	18323-44-9	CHEMBL1753	ZINC000004038341	3745	C06914	D00277		C0008947	CID100002786
402	DB01196	Estramustine	D03SRY	259331.0	2998-57-4	CHEMBL1575	ZINC000004099032	4868	C11228	D04066	50333646.0	C0014921	CID000259331
403	DB01195	Flecainide	D03DAP	3356.0	54143-55-4	CHEMBL652		75984	C07001	D07962	50131434.0	C0016229	CID100003355
404	DB01194	Brinzolamide	D01MUR	68844.0	138890-62-7	CHEMBL220491	ZINC000003953037	3176	C07760	D00652	10885.0	C0673966	CID000068844
405	DB01193	Acebutolol	D0HD9K	1978.0	37517-30-9	CHEMBL642		2379	C06803	D02338	25755.0	C0000946	CID000001978
407	DB01198	Zopiclone	D0ZB7K	5735.0	43200-80-2	CHEMBL135400		32315		D01372	50054136.0	C0078847	CID000005735
408	DB01197	Captopril	D0I0EG	44093.0	62571-86-2	CHEMBL1560	ZINC000000057001	3380		D00251	21642.0	C0006938,C4255725	CID000044093
455	DB01141	Micafungin	D06TOE	477468.0	235114-32-6	CHEMBL457547		600520	C15819	D02465		C1120386	CID000477468
457	DB01140	Cefadroxil	D0X9ZC	47965.0	50370-12-2	CHEMBL1644	ZINC000003830391	3479	C06878	D00257	50350467.0	C0007538,C2699132	CID100002610
461	DB01144	Diclofenamide	D0J4GO	3038.0	120-97-8	CHEMBL17	ZINC000000896918	101085	C07459	D00518	10883.0	C0012086	CID000003038
463	DB01143	Amifostine	D06CIE	2141.0	20537-88-6	CHEMBL1006	ZINC000021992285	2636	C06819			C0015020,C3537278	CID000002141
465	DB01142	Doxepin	D06FES	667468.0	1668-19-5	CHEMBL1628227		4710	C06971	D07875	50225488.0	C0013085	CID100003158
467	DB01149	Nefazodone	D0X7DE	4449.0	83366-66-9	CHEMBL623	ZINC000000538065	7494	C07256	D08257	50069447.0	C0068485	CID000004449
468	DB01148	Flavoxate	D0ND2J	3354.0	15301-69-6	CHEMBL1493	ZINC000000608382	5088	C07809	D07961		C0016225	CID000003354
493	DB13139	Levosalbutamol	D0YP4A	123600.0	34391-04-3	CHEMBL1002	ZINC000000007601	8746	C11770	D08124	50361247.0	C0772501	CID000123600
502	DB01151	Desipramine	D01UTL	2995.0	50-47-5	CHEMBL72	ZINC000001530611	47781	C06943	D07791	35229.0	C0011685	CID000002995
504	DB01150	Cefprozil	D0YX4S	5281006.0	92665-29-7	CHEMBL276568	ZINC000003776970	3506	C06888			C0053882,C2699143	CID005281006
507	DB01156	Bupropion	D0X4ZR	444.0	34911-55-2	CHEMBL894	ZINC3991710	3219	C06860	D07591	50048392.0	C0085208	CID000000444
508	DB01155	Gemifloxacin	D0VR7W	9571107.0	175463-14-6	CHEMBL430		101853		D08012	50178917.0	C0533545	CID009571107
512	DB01153	Sertaconazole	D0O6UZ	65863.0	99592-32-2	CHEMBL1201196		83682			50051842.0	C0074391	CID000065863
515	DB01158	Bretylium	D02YYF	2431.0	59-41-6	CHEMBL1199080	ZINC000000001041	3172	C06855	D00645	50239966.0	C0054040	CID000002431
517	DB01157	Trimetrexate	D0Y7TS	5583.0	52128-35-5	CHEMBL119	ZINC000000598852	9737	C11154	D06238	18268.0	C0085176	CID100005582
542	DB01162	Terazosin	D0P9RF	5401.0	63590-64-7	CHEMBL611		9445	C07127	D08569	50033111.0	C0076107	CID000005401
